make,model,year,price,mileage,fuelType,transmission,color,engineSize,bodyType,description,status,featured,nctExpiry,owners,imageUrl
Honda,Civic,2020,15000,45000,Petrol,Automatic,Silver,1.5,Saloon,Well-maintained Honda Civic with full service history and new tires. Clean interior and exterior.,available,true,2026-12-31,1,https://images.unsplash.com/photo-1590362891990-f8023379867?w=800
Toyota,Corolla,2019,12000,62000,Diesel,Manual,Black,1.2,Saloon,Reliable Toyota Corolla with excellent fuel efficiency. Regular maintenance records available.,available,false,2026-06-15,2,https://images.unsplash.com/photo-1552520514-6cffdb5fdf6f?w=800
BMW,X5,2021,45000,28000,Hybrid,Automatic,White,3.0,SUV,Luxury BMW X5 with premium features including leather interior and panoramic sunroof.,available,true,2027-03-20,1,https://images.unsplash.com/photo-1606611013016-969c19d4a42f?w=800
Mercedes,C-Class,2018,35000,75000,Petrol,Automatic,Blue,2.0,Saloon,Elegant Mercedes-Benz C-Class sedan. Excellent condition with premium audio system.,available,false,2026-09-10,3,https://images.unsplash.com/photo-1519641471654-76ce0107ad1b?w=800
Audi,A4,2022,40000,15000,Diesel,Automatic,Grey,2.0,Saloon,Nearly new Audi A4 with warranty. Advanced safety features and technology package included.,available,true,2027-08-05,0,https://images.unsplash.com/photo-1583122533391-67c5a0eb9fa0?w=800
Volkswagen,Golf,2019,13000,55000,Petrol,Manual,Red,1.4,Hatchback,Fun and economical VW Golf. Perfect for city driving with good fuel economy.,available,false,2026-04-22,2,https://images.unsplash.com/photo-1552820728-8ac41f1ce891?w=800
Hyundai,Tucson,2020,18000,48000,Petrol,Automatic,Silver,2.0,SUV,Spacious family SUV with rear parking camera and cruise control.,available,true,2026-11-30,1,https://images.unsplash.com/photo-1606611013016-969c19d4a42f?w=800
Mazda,CX-5,2021,25000,32000,Diesel,Automatic,Black,2.2,SUV,Stylish Mazda CX-5 with great handling and comfortable ride quality.,available,false,2027-05-15,2,https://images.unsplash.com/photo-1619405399517-d4dc5ebe6122?w=800
Ford,Focus,2018,11000,70000,Petrol,Manual,White,1.6,Hatchback,Good value practical Ford Focus with reliable performance history.,available,true,2026-03-10,4,https://images.unsplash.com/photo-1552520514-6cffdb5fdf6f?w=800
Peugeot,3008,2020,22000,50000,Petrol,Automatic,Blue,1.6,SUV,Modern Peugeot 3008 with contemporary design and touchscreen infotainment.,available,false,2026-08-20,2,https://images.unsplash.com/photo-1552820728-8ac41f1ce891?w=800

